elastomero,,
temperatura,deformacion,esfuerzo
-40,0,0
-40,1.01,10.25
-40,1.68,16.54
-40,2.35,21.21
-40,3.02,24.46
-40,3.69,26.79
-40,4.36,28.52
-40,5.03,29.94
-40,5.7,31.14
-40,7.04,33.13
-40,7.71,33.97
-40,8.38,34.74
-40,9.05,35.5
-40,9.72,36.19
-40,10.39,36.82
-40,11.06,37.39
-40,11.73,37.93
-40,12.4,38.45
-40,13.07,38.95
-40,13.74,39.39
-40,14.42,39.81
-40,15.09,40.2
-40,15.76,40.57
-40,16.43,40.92
-40,17.1,41.25
-40,17.77,41.54
-40,19.11,42.09
-40,19.78,42.35
-40,20.45,42.61
-40,21.12,42.84
-40,21.79,43.05
-40,22.46,43.24
-40,23.13,43.43
-40,23.8,43.61
-40,24.47,43.78
-40,25.14,43.95
-40,25.81,44.11
-40,26.48,44.25
-40,27.15,44.39
-40,27.82,44.53
-40,28.49,44.69
-40,29.17,44.85
-40,30.51,45.08
-40,31.18,45.2
-40,31.85,45.29
-40,32.52,45.37
-40,33.19,45.42
-40,33.86,45.5
-40,34.53,45.56
-40,35.2,45.6
-40,35.87,45.68
-40,36.54,45.71
-40,37.21,45.74
-40,37.88,45.78
-40,38.55,45.8
-40,39.22,45.83
-40,39.89,45.84
-40,40.56,45.85
-40,41.23,45.85
-40,42.57,45.83
-40,43.25,45.81
-40,43.92,45.78
-40,44.59,45.76
-40,45.26,45.73
-40,45.93,45.67
-40,46.6,45.62
-40,47.27,45.56
-40,47.94,45.49
-20,0,0
-20,3.31,10.76
-20,6.98,16.94
-20,9.93,20.35
-20,12.87,22.9
-20,15.81,24.83
-20,19.48,26.7
-20,22.42,27.84
-20,25.36,28.75
-20,28.31,29.49
-20,31.98,30.24
-20,34.92,30.72
-20,37.86,31.13
-20,40.8,31.48
-20,44.48,31.84
-20,47.42,32.11
-20,50.36,32.34
-20,54.04,32.58
-20,56.98,32.74
-20,59.92,32.9
-20,62.86,33.04
-20,66.54,33.21
-20,69.48,33.32
-20,72.42,33.43
-20,75.36,33.54
-20,79.03,33.66
-20,81.98,33.75
-20,84.92,33.86
-20,88.59,33.98
-20,91.53,34.07
-20,94.47,34.16
-20,97.41,34.27
-20,101.09,34.41
-20,104.03,34.55
-20,106.97,34.69
-20,109.91,34.82
-20,113.59,34.97
-20,116.53,35.06
-20,119.47,35.19
-20,122.41,35.3
-20,126.09,35.47
-20,129.03,35.63
-20,131.97,35.76
-20,135.64,35.92
-20,138.59,36.05
-20,141.53,36.16
-20,144.47,36.26
-20,148.14,36.41
-20,151.08,36.54
0,0,0
0,3.77,8.56
0,7.19,13.22
0,10.61,16.4
0,14.72,19
0,18.14,20.53
0,21.57,21.67
0,24.99,22.5
0,28.41,23.12
0,31.84,23.6
0,35.94,24.02
0,39.37,24.3
0,42.79,24.53
0,46.21,24.7
0,49.64,24.88
0,53.06,25.05
0,57.17,25.21
0,60.59,25.35
0,64.01,25.5
0,67.44,25.63
0,70.86,25.77
0,74.28,25.91
0,78.39,26.09
0,81.81,26.23
0,85.24,26.38
0,88.66,26.52
0,92.08,26.67
0,95.51,26.81
0,99.61,26.99
0,103.04,27.12
0,106.46,27.26
0,109.88,27.42
0,113.31,27.55
0,116.73,27.7
0,120.15,27.85
0,124.26,28.02
0,127.68,28.18
0,131.11,28.33
0,134.53,28.47
0,137.95,28.62
0,141.38,28.79
0,145.48,28.97
0,148.91,29.13
0,152.33,29.28
23,0,0
23,4.33,7.44
23,7.67,10.9
23,11.67,13.61
23,15.67,15.37
23,19.67,16.57
23,23,17.27
23,27,17.86
23,31,18.26
23,34.33,18.52
23,38.33,18.77
23,42.33,18.98
23,45.67,19.13
23,49.67,19.32
23,53.67,19.49
23,57.67,19.66
23,61,19.8
23,65,19.97
23,69,20.14
23,72.33,20.28
23,76.33,20.45
23,80.33,20.62
23,84.33,20.79
23,87.67,20.92
23,91.67,21.09
23,95.67,21.26
23,99,21.39
23,103,21.55
23,107,21.72
23,110.34,21.85
23,114.34,22.02
23,118.34,22.18
23,122.34,22.34
23,125.67,22.47
23,129.67,22.63
23,133.67,22.79
23,137,22.91
23,141,23.08
23,145,23.23
23,149,23.39
23,152.34,23.51
40,0,0
40,3.75,4.97
40,6.47,7.52
40,9.88,9.79
40,13.29,11.38
40,16.01,12.32
40,19.42,13.18
40,22.83,13.79
40,26.23,14.27
40,28.96,14.57
40,32.36,14.89
40,35.77,15.14
40,38.5,15.32
40,41.9,15.52
40,45.31,15.71
40,48.04,15.86
40,51.44,16.04
40,54.85,16.21
40,58.26,16.39
40,60.98,16.54
40,64.39,16.68
40,67.8,16.85
40,70.52,16.99
40,73.93,17.16
40,77.33,17.32
40,80.06,17.46
40,83.47,17.62
40,86.87,17.79
40,90.28,17.95
40,93.01,18.08
40,96.41,18.25
40,99.82,18.4
40,102.54,18.53
40,105.95,18.69
40,109.36,18.85
40,112.08,18.98
40,115.49,19.14
40,118.9,19.29
40,121.62,19.42
40,125.03,19.57
40,128.44,19.72
40,131.84,19.87
40,134.57,20
40,137.97,20.15
40,141.38,20.3
40,144.11,20.42
40,147.51,20.57
40,150.92,20.72
60,0,0
60,3.46,3.64
60,6.53,5.89
60,8.83,7.19
60,11.9,8.56
60,14.98,9.59
60,18.05,10.37
60,21.12,10.96
60,24.19,11.46
60,26.5,11.75
60,29.57,12.09
60,32.64,12.38
60,35.71,12.64
60,38.78,12.86
60,41.09,13.01
60,44.16,13.21
60,47.23,13.4
60,50.3,13.58
60,53.38,13.76
60,56.45,13.93
60,58.75,14.05
60,61.82,14.22
60,64.9,14.38
60,67.97,14.53
60,71.04,14.7
60,73.34,14.82
60,76.42,14.96
60,79.49,15.12
60,82.56,15.27
60,85.63,15.42
60,88.7,15.58
60,91.01,15.68
60,94.08,15.83
60,97.15,15.97
60,100.22,16.11
60,103.29,16.25
60,106.37,16.4
60,108.67,16.5
60,111.74,16.64
60,114.81,16.77
60,117.89,16.91
60,120.96,17.03
60,123.26,17.14
60,126.33,17.27
60,129.41,17.4
60,132.48,17.52
60,135.55,17.65
60,138.62,17.77
60,140.93,17.87
60,144,17.98
60,147.07,18.11
60,150.14,18.22
90,0,0
90,2.78,2.3
90,5.25,3.78
90,7.72,5
90,10.19,5.97
90,12.05,6.57
90,14.52,7.24
90,16.99,7.77
90,19.46,8.19
90,21.93,8.56
90,24.4,8.87
90,26.87,9.13
90,29.34,9.36
90,31.81,9.56
90,33.67,9.69
90,36.14,9.86
90,38.61,10.02
90,41.08,10.15
90,43.55,10.3
90,46.02,10.42
90,48.49,10.55
90,50.96,10.68
90,52.81,10.76
90,55.28,10.88
90,57.76,11
90,60.23,11.11
90,62.7,11.23
90,65.17,11.33
90,67.64,11.45
90,70.11,11.55
90,72.58,11.66
90,74.43,11.74
90,76.9,11.84
90,79.38,11.95
90,81.85,12.05
90,84.32,12.16
90,86.79,12.26
90,89.26,12.36
90,91.73,12.47
90,94.2,12.56
90,96.05,12.63
90,98.52,12.73
90,101,12.83
90,103.47,12.93
90,105.94,13.03
90,108.41,13.13
90,110.88,13.22
90,113.35,13.31
90,115.2,13.38
90,117.67,13.47
90,120.14,13.56
90,122.61,13.64
90,125.09,13.74
90,127.56,13.82
90,130.03,13.91
90,132.5,13.98
90,134.97,14.09
90,136.82,14.13
90,139.29,14.22
90,141.76,14.29
90,144.23,14.37
90,146.71,14.45
90,149.18,14.52
90,151.65,14.6
100,0,0
100,2.09,1.55
100,3.88,2.54
100,6.27,3.68
100,8.06,4.39
100,9.86,5.01
100,11.65,5.54
100,14.04,6.12
100,15.83,6.5
100,17.62,6.82
100,19.41,7.11
100,21.8,7.44
100,23.59,7.66
100,25.39,7.85
100,27.18,8.03
100,29.57,8.24
100,31.36,8.38
100,33.15,8.5
100,34.94,8.64
100,36.74,8.76
100,39.13,8.91
100,40.92,9.01
100,42.71,9.12
100,44.5,9.22
100,46.89,9.34
100,48.68,9.44
100,50.47,9.53
100,52.27,9.61
100,54.66,9.73
100,56.45,9.82
100,58.24,9.9
100,60.03,9.98
100,62.42,10.1
100,64.21,10.17
100,66,10.25
100,67.8,10.33
100,70.19,10.44
