strain,T-45,T-20,T0,T23,T27,T30,T60,T70,T80,T100
0,0,0,0,0,0,0,0,0,0,0
0.001,11.32425649,7.324256488,3.724256488,3.424256488,3.324256488,3.224256488,2.824256488,2.574256488,2.324256488,1.824256488
0.002,20.44262877,12.44262877,5.24262877,4.64262877,4.44262877,4.24262877,3.44262877,2.94262877,2.44262877,1.44262877
0.003,29.78538357,17.78538357,6.98538357,6.08538357,5.78538357,5.48538357,4.28538357,3.53538357,2.78538357,1.28538357
0.004,35.7620401,19.7620401,5.362040098,4.162040098,3.762040098,3.362040098,1.762040098,0.762040098,-0.237959902,-2.237959902
0.005,50.55303498,30.55303498,12.55303498,11.05303498,10.55303498,10.05303498,8.053034981,6.803034981,5.553034981,3.053034981
0.006,58.78456666,34.78456666,13.18456666,11.38456666,10.78456666,10.18456666,7.784566657,6.284566657,4.784566657,1.784566657
0.007,71.29439084,43.29439084,18.09439084,15.99439084,15.29439084,14.59439084,11.79439084,10.04439084,8.294390839,4.794390839
0.008,80.73547844,48.73547844,19.93547844,17.53547844,16.73547844,15.93547844,12.73547844,10.73547844,8.735478437,4.735478437
0.009,88.9651599,52.9651599,20.5651599,17.8651599,16.9651599,16.0651599,12.4651599,10.2151599,7.965159896,3.465159896
0.01,99.88300567,59.88300567,23.88300567,20.88300567,19.88300567,18.88300567,14.88300567,12.38300567,9.883005665,4.883005665
0.011,107.9786169,63.97861688,24.37861688,21.07861688,19.97861688,18.87861688,14.47861688,11.72861688,8.97861688,3.47861688
0.012,119.8830782,71.88307817,28.68307817,25.08307817,23.88307817,22.68307817,17.88307817,14.88307817,11.88307817,5.883078166
0.013,128.1360538,76.13605384,29.33605384,25.43605384,24.13605384,22.83605384,17.63605384,14.38605384,11.13605384,4.636053844
0.014,139.5010181,83.5010181,33.1010181,28.9010181,27.5010181,26.1010181,20.5010181,17.0010181,13.5010181,6.501018098
0.015,150.8678475,90.8678475,36.8678475,32.3678475,30.8678475,29.3678475,23.3678475,19.6178475,15.8678475,8.367847505
0.016,159.6008858,95.60088577,38.00088577,33.20088577,31.60088577,30.00088577,23.60088577,19.60088577,15.60088577,7.600885766
0.017,169.3005111,101.3005111,40.10051109,35.00051109,33.30051109,31.60051109,24.80051109,20.55051109,16.30051109,7.800511087
0.018,177.5190054,105.5190054,40.71900536,35.31900536,33.51900536,31.71900536,24.51900536,20.01900536,15.51900536,6.519005356
0.019,188.6680659,112.6680659,44.26806588,38.56806588,36.66806588,34.76806588,27.16806588,22.41806588,17.66806588,8.168065884
0.02,200.9958393,120.9958393,48.99583927,42.99583927,40.99583927,38.99583927,30.99583927,25.99583927,20.99583927,10.99583927
0.021,211.4148239,127.4148239,51.81482391,45.51482391,43.41482391,41.31482391,32.91482391,27.66482391,22.41482391,11.91482391
0.022,218.3259138,130.3259138,51.12591382,44.52591382,42.32591382,40.12591382,31.32591382,25.82591382,20.32591382,9.325913817
0.023,233.5272324,141.5272324,58.72723237,51.82723237,49.52723237,47.22723237,38.02723237,32.27723237,26.52723237,15.02723237
0.024,239.9287699,143.9287699,57.52876988,50.32876988,47.92876988,45.52876988,35.92876988,29.92876988,23.92876988,11.92876988
0.025,249.1819668,149.1819668,59.18196678,51.68196678,49.18196678,46.68196678,36.68196678,30.43196678,24.18196678,11.68196678
0.026,259.2005861,155.2005861,61.60058614,53.80058614,51.20058614,48.60058614,38.20058614,31.70058614,25.20058614,12.20058614
0.027,270.017491,162.017491,64.81749101,56.71749101,54.01749101,51.31749101,40.51749101,33.76749101,27.01749101,13.51749101
0.028,280.8081167,168.8081167,68.00811673,59.60811673,56.80811673,54.00811673,42.80811673,35.80811673,28.80811673,14.80811673
0.029,291.130858,175.130858,70.73085795,62.03085795,59.13085795,56.23085795,44.63085795,37.38085795,30.13085795,15.63085795
0.03,298.7434801,178.7434801,70.74348013,61.74348013,58.74348013,55.74348013,43.74348013,36.24348013,28.74348013,13.74348013
0.031,310.5340397,186.5340397,74.93403974,65.63403974,62.53403974,59.43403974,47.03403974,39.28403974,31.53403974,16.03403974
0.032,320.333948,192.333948,77.13394796,67.53394796,64.33394796,61.13394796,48.33394796,40.33394796,32.33394796,16.33394796
0.033,328.8149063,196.8149063,78.01490627,68.11490627,64.81490627,61.51490627,48.31490627,40.06490627,31.81490627,15.31490627
0.034,340.997506,204.997506,82.597506,72.397506,68.997506,65.597506,51.997506,43.497506,34.997506,17.997506
0.035,349.7359517,209.7359517,83.73595172,73.23595172,69.73595172,66.23595172,52.23595172,43.48595172,34.73595172,17.23595172
0.036,359.5236192,215.5236192,85.92361922,75.12361922,71.52361922,67.92361922,53.52361922,44.52361922,35.52361922,17.52361922
0.037,369.9263342,221.9263342,88.72633425,77.62633425,73.92633425,70.22633425,55.42633425,46.17633425,36.92633425,18.42633425
0.038,380.7342398,228.7342398,91.93423979,80.53423979,76.73423979,72.93423979,57.73423979,48.23423979,38.73423979,19.73423979
0.039,388.9090849,232.9090849,92.50908494,80.80908494,76.90908494,73.00908494,57.40908494,47.65908494,37.90908494,18.40908494
0.04,400.0373192,240.0373192,96.03731923,84.03731923,80.03731923,76.03731923,60.03731923,50.03731923,40.03731923,20.03731923
0.041,409.663368,245.663368,98.06336805,85.76336805,81.66336805,77.56336805,61.16336805,50.91336805,40.66336805,20.16336805
0.042,418.816075,250.816075,99.616075,87.016075,82.816075,78.616075,61.816075,51.316075,40.816075,19.816075
0.043,426.1716018,254.1716018,99.37160181,86.47160181,82.17160181,77.87160181,60.67160181,49.92160181,39.17160181,17.67160181
0.044,438.4519494,262.4519494,104.0519494,90.85194939,86.45194939,82.05194939,64.45194939,53.45194939,42.45194939,20.45194939
0.045,450.5246197,270.5246197,108.5246197,95.02461975,90.52461975,86.02461975,68.02461975,56.77461975,45.52461975,23.02461975
0.046,459.5518058,275.5518058,109.9518058,96.15180582,91.55180582,86.95180582,68.55180582,57.05180582,45.55180582,22.55180582
0.047,472.4715979,284.4715979,115.2715979,101.1715979,96.47159791,91.77159791,72.97159791,61.22159791,49.47159791,25.97159791
0.048,479.6985966,287.6985966,114.8985966,100.4985966,95.6985966,90.8985966,71.6985966,59.6985966,47.6985966,23.6985966
0.049,489.7929921,293.7929921,117.3929921,102.6929921,97.79299212,92.89299212,73.29299212,61.04299212,48.79299212,24.29299212
0.05,499.7905132,299.7905132,119.7905132,104.7905132,99.79051321,94.79051321,74.79051321,62.29051321,49.79051321,24.79051321
0.051,510.533866,306.533866,122.933866,107.633866,102.533866,97.43386599,77.03386599,64.28386599,51.53386599,26.03386599
0.052,521.9225522,313.9225522,126.7225522,111.1225522,105.9225522,100.7225522,79.92255215,66.92255215,53.92255215,27.92255215
0.053,531.7888631,319.7888631,128.9888631,113.0888631,107.7888631,102.4888631,81.28886305,68.03886305,54.78886305,28.28886305
0.054,542.3800229,326.3800229,131.9800229,115.7800229,110.3800229,104.9800229,83.38002287,69.88002287,56.38002287,29.38002287
0.055,551.1304139,331.1304139,133.1304139,116.6304139,111.1304139,105.6304139,83.63041388,69.88041388,56.13041388,28.63041388
0.056,558.5015142,334.5015142,132.9015142,116.1015142,110.5015142,104.9015142,82.50151418,68.50151418,54.50151418,26.50151418
0.057,572.050451,344.050451,138.850451,121.750451,116.050451,110.350451,87.55045095,73.30045095,59.05045095,30.55045095
0.058,578.866366,346.866366,138.066366,120.666366,114.866366,109.066366,85.86636596,71.36636596,56.86636596,27.86636596
0.059,589.4431901,353.4431901,141.0431901,123.3431901,117.4431901,111.5431901,87.94319007,73.19319007,58.44319007,28.94319007
0.06,599.7913694,359.7913694,143.7913694,125.7913694,119.7913694,113.7913694,89.79136943,74.79136943,59.79136943,29.79136943
0.061,609.876093,365.876093,146.276093,127.976093,121.876093,115.776093,91.37609296,76.12609296,60.87609296,30.37609296
0.062,621.600862,373.600862,150.400862,131.800862,125.600862,119.400862,94.60086203,79.10086203,63.60086203,32.60086203
0.063,629.5406672,377.5406672,150.7406672,131.8406672,125.5406672,119.2406672,94.04066724,78.29066724,62.54066724,31.04066724
0.064,638.9867475,382.9867475,152.5867475,133.3867475,126.9867475,120.5867475,94.98674747,78.98674747,62.98674747,30.98674747
0.065,649.5234732,389.5234732,155.5234732,136.0234732,129.5234732,123.0234732,97.02347319,80.77347319,64.52347319,32.02347319
0.066,659.9575962,395.9575962,158.3575962,138.5575962,131.9575962,125.3575962,98.95759623,82.45759623,65.95759623,32.95759623
0.067,670.0628869,402.0628869,160.8628869,140.7628869,134.0628869,127.3628869,100.5628869,83.81288687,67.06288687,33.56288687
0.068,680.6271206,408.6271206,163.8271206,143.4271206,136.6271206,129.8271206,102.6271206,85.62712056,68.62712056,34.62712056
0.069,691.4241818,415.4241818,167.0241818,146.3241818,139.4241818,132.5241818,104.9241818,87.67418184,70.42418184,35.92418184
0.07,697.307215,417.307215,165.307215,144.307215,137.307215,130.307215,102.307215,84.807215,67.307215,32.307215
0.071,707.7229284,423.7229284,168.1229284,146.8229284,139.7229284,132.6229284,104.2229284,86.4729284,68.7229284,33.2229284
0.072,719.293775,431.293775,172.093775,150.493775,143.293775,136.093775,107.293775,89.29377504,71.29377504,35.29377504
0.073,730.1607809,438.1607809,175.3607809,153.4607809,146.1607809,138.8607809,109.6607809,91.41078095,73.16078095,36.66078095
0.074,738.6369951,442.6369951,176.2369951,154.0369951,146.6369951,139.2369951,109.6369951,91.13699505,72.63699505,35.63699505
0.075,751.3328498,451.3328498,181.3328498,158.8328498,151.3328498,143.8328498,113.8328498,95.08284978,76.33284978,38.83284978
0.076,758.6529836,454.6529836,181.0529836,158.2529836,150.6529836,143.0529836,112.6529836,93.65298362,74.65298362,36.65298362
0.077,771.8141832,463.8141832,186.6141832,163.5141832,155.8141832,148.1141832,117.3141832,98.06418325,78.81418325,40.31418325
0.078,779.6633146,467.6633146,186.8633146,163.4633146,155.6633146,147.8633146,116.6633146,97.16331458,77.66331458,38.66331458
0.079,787.5215149,471.5215149,187.1215149,163.4215149,155.5215149,147.6215149,116.0215149,96.27151485,76.52151485,37.02151485
0.08,798.7717566,478.7717566,190.7717566,166.7717566,158.7717566,150.7717566,118.7717566,98.77175659,78.77175659,38.77175659
0.081,809.3114558,485.3114558,193.7114558,169.4114558,161.3114558,153.2114558,120.8114558,100.5614558,80.31145575,39.81145575
0.082,819.2195183,491.2195183,196.0195183,171.4195183,163.2195183,155.0195183,122.2195183,101.7195183,81.2195183,40.2195183
0.083,829.9353159,497.9353159,199.1353159,174.2353159,165.9353159,157.6353159,124.4353159,103.6853159,82.93531588,41.43531588
0.084,841.3775237,505.3775237,202.9775237,177.7775237,169.3775237,160.9775237,127.3775237,106.3775237,85.37752365,43.37752365
0.085,848.7277287,508.7277287,202.7277287,177.2277287,168.7277287,160.2277287,126.2277287,104.9777287,83.72772867,41.22772867
0.086,863.9007233,519.9007233,210.3007233,184.5007233,175.9007233,167.3007233,132.9007233,111.4007233,89.90072328,46.90072328
0.087,867.3518519,519.3518519,206.1518519,180.0518519,171.3518519,162.6518519,127.8518519,106.1018519,84.35185191,40.85185191
0.088,879.4387479,527.4387479,210.6387479,184.2387479,175.4387479,166.6387479,131.4387479,109.4387479,87.43874787,43.43874787
0.089,892.0330362,536.0330362,215.6330362,188.9330362,180.0330362,171.1330362,135.5330362,113.2830362,91.03303621,46.53303621
0.09,901.3259685,541.3259685,217.3259685,190.3259685,181.3259685,172.3259685,136.3259685,113.8259685,91.32596853,46.32596853
0.091,907.8854472,543.8854472,216.2854472,188.9854472,179.8854472,170.7854472,134.3854472,111.6354472,88.8854472,43.3854472
0.092,920.378304,552.378304,221.178304,193.578304,184.378304,175.178304,138.378304,115.378304,92.37830398,46.37830398
0.093,929.9521791,557.9521791,223.1521791,195.2521791,185.9521791,176.6521791,139.4521791,116.2021791,92.95217914,46.45217914
0.094,938.8456509,562.8456509,224.4456509,196.2456509,186.8456509,177.4456509,139.8456509,116.3456509,92.8456509,45.8456509
0.095,947.8410385,567.8410385,225.8410385,197.3410385,187.8410385,178.3410385,140.3410385,116.5910385,92.84103853,45.34103853
0.096,958.3653375,574.3653375,228.7653375,199.9653375,190.3653375,180.7653375,142.3653375,118.3653375,94.36533751,46.36533751
0.097,971.0851305,583.0851305,233.8851305,204.7851305,195.0851305,185.3851305,146.5851305,122.3351305,98.08513047,49.58513047
